wavelength,alpha_0,alpha_0_uncertainty
1559.7,39.93,3.41
1560.2,39.76,3.41
1560.7,39.59,3.41
1561.2,39.43,3.41
1561.7,39.26,3.41
1562.2,39.09,3.41
1562.7,38.92,3.41
1563.2,38.75,3.41
1563.7,38.59,3.41
1564.2,38.42,3.41
1564.7,38.25,3.41
1565.2,38.08,3.41
1565.7,37.91,3.41
1566.2,37.74,3.41
1566.7,37.57,3.41
1567.2,37.4,3.41
1567.7,37.23,3.41
1568.2,37.07,3.41
1568.7,36.9,3.41
1569.2,36.73,3.41
1569.7,36.56,3.41
1570.2,36.39,3.41
1570.7,36.22,3.41
1571.2,36.05,3.41
1571.7,35.87,3.41
1572.2,35.7,3.41
1572.7,35.53,3.41
1573.2,35.36,3.41
1573.7,35.19,3.41
1574.2,35.02,3.41
1574.7,34.85,3.41
1575.2,34.68,3.41
1575.7,34.5,3.41
1576.2,34.33,3.41
1576.7,34.16,3.41
1577.2,33.99,3.41
1577.7,33.82,3.41
1578.2,33.64,3.42
1578.7,33.47,3.42
1579.2,33.3,3.42
1579.7,33.13,3.42
1580.2,32.95,3.42
1580.7,32.78,3.42
1581.2,32.61,3.42
1581.7,32.43,3.42
1582.2,32.26,3.42
1582.7,32.08,3.42
1583.2,31.91,3.42
1583.7,31.74,3.42
1584.2,31.56,3.42
1584.7,31.39,3.42
1585.2,31.21,3.42
1585.7,31.04,3.42
1586.2,30.86,3.42
1586.7,30.69,3.42
1587.2,30.51,3.42
1587.7,30.34,3.42
1588.2,30.16,3.42
1588.7,29.99,3.42
1589.2,29.81,3.42
1589.7,29.63,3.42
1590.2,29.46,3.42
1590.7,29.28,3.42
1591.2,29.11,3.42
1591.7,28.93,3.42
1592.2,28.75,3.42
1592.7,28.58,3.42
1593.2,28.4,3.42
1593.7,28.22,3.42
1594.2,28.04,3.42
1594.7,27.87,3.42
1595.2,27.69,3.42
1595.7,27.51,3.42
1596.2,27.33,3.42
1596.7,27.15,3.42
1597.2,26.98,3.42
1597.7,26.8,3.42
1598.2,26.62,3.42
1598.7,26.44,3.42
1599.2,26.26,3.42
1599.7,26.08,3.42
1600.2,25.9,3.42
1600.7,25.72,3.42
1601.2,25.54,3.42
1601.7,25.36,3.42
1602.2,25.18,3.42
1602.7,25,3.42
1603.2,24.82,3.42
1603.7,24.64,3.42
1604.2,24.46,3.42
1604.7,24.28,3.42
1605.2,24.1,3.42
1605.7,23.92,3.42
1606.2,23.74,3.42
1606.7,23.56,3.42
1607.2,23.37,3.42
1607.7,23.19,3.42
1608.2,23.01,3.42
1608.7,22.83,3.42
1609.2,22.65,3.42
1609.7,22.46,3.42
1610.2,22.28,3.42
1610.7,22.1,3.42
1611.2,21.92,3.42
1611.7,21.73,3.42
1612.2,21.55,3.42
1612.7,21.37,3.42
1613.2,21.18,3.42
1613.7,21,3.42
1614.2,20.81,3.42
1614.7,20.63,3.42
1615.2,20.45,3.42
1615.7,20.26,3.42
1616.2,20.08,3.42
1616.7,19.89,3.42
1617.2,19.71,3.42
1617.7,19.52,3.42
1618.2,19.34,3.42
1618.7,19.15,3.42
1619.2,18.96,3.42
1619.7,18.78,3.42
1620.2,18.59,3.42
1620.7,18.41,3.42
1621.2,18.22,3.42
1621.7,18.03,3.42
1622.2,17.85,3.42
1622.7,17.66,3.42
1623.2,17.47,3.42
1623.7,17.28,3.42
1624.2,17.1,3.42
1624.7,16.91,3.42
1625.2,16.72,3.42
1625.7,16.53,3.42
1626.2,16.35,3.42
1626.7,16.16,3.42
1627.2,15.97,3.42
1627.7,15.78,3.42
1628.2,15.59,3.42
1628.7,15.4,3.42
1629.2,15.21,3.42
1629.7,15.02,3.42
1630.2,14.83,3.42
1630.7,14.64,3.42
1631.2,14.45,3.42
1631.7,14.26,3.42
1632.2,14.07,3.42
1632.7,13.88,3.42
1633.2,13.69,3.42
1633.7,13.5,3.42
1634.2,13.31,3.42
1634.7,13.12,3.42
1635.2,12.93,3.42
1635.7,12.74,3.42
1636.2,12.54,3.42
1636.7,12.35,3.42
1637.2,12.16,3.42
1637.7,11.97,3.42
1638.2,11.78,3.42
1638.7,11.58,3.42
1639.2,11.39,3.42
1639.7,11.2,3.42
1640.2,11,3.42
1640.7,10.81,3.42
1641.2,10.62,3.42
1641.7,10.42,3.42
1642.2,10.23,3.42
1642.7,10.03,3.42
1643.2,9.84,3.42
1643.7,9.65,3.42
1644.2,9.45,3.42
1644.7,9.26,3.42
1645.2,9.06,3.42
1645.7,8.86,3.42
1646.2,8.67,3.42
1646.7,8.47,3.42
1647.2,8.28,3.42
1647.7,8.08,3.42
1648.2,7.89,3.42
1648.7,7.69,3.42
1649.2,7.49,3.43
1649.7,7.3,3.43
1650.2,7.1,3.43
1650.7,6.9,3.43
1651.2,6.7,3.43
1651.7,6.51,3.43
1652.2,6.31,3.43
1652.7,6.11,3.43
1653.2,5.91,3.43
1653.7,5.71,3.43
1654.2,5.51,3.43
1654.7,5.32,3.43
1655.2,5.12,3.43
1655.7,4.92,3.43
1656.2,4.72,3.43
1656.7,4.52,3.43
1657.2,4.32,3.43
1657.7,4.12,3.43
1658.2,3.92,3.43
1658.7,3.72,3.43
1659.2,3.52,3.43
1659.7,3.32,3.43
1660.2,3.12,3.43
1660.7,2.91,3.43
1661.2,2.71,3.43
1661.7,2.51,3.43
1662.2,2.31,3.43
1662.7,2.11,3.43
1663.2,1.91,3.43
1663.7,1.7,3.43
1664.2,1.5,3.43
1664.7,1.3,3.43
1665.2,1.09,3.43
1665.7,0.89,3.43
1666.2,0.69,3.43
1666.7,0.48,3.43
1667.2,0.28,3.43
1667.7,0.08,3.43
1668.2,-0.13,3.43
1668.7,-0.33,3.43
1669.2,-0.54,3.43
1669.7,-0.74,3.43
1670.2,-0.95,3.43
1670.7,-1.15,3.43
1671.2,-1.36,3.43
1671.7,-1.56,3.43
1672.2,-1.77,3.43
1672.7,-1.98,3.43
1673.2,-2.18,3.43
1673.7,-2.39,3.43
1674.2,-2.6,3.43
1674.7,-2.8,3.43
1675.2,-3.01,3.43
1675.7,-3.22,3.43
1676.2,-3.42,3.43
1676.7,-3.63,3.43
1677.2,-3.84,3.43
1677.7,-4.05,3.43
1678.2,-4.26,3.43
1678.7,-4.47,3.43
1679.2,-4.67,3.43
1679.7,-4.88,3.43
1680.2,-5.09,3.43
1680.7,-5.3,3.43
1681.2,-5.51,3.43
1681.7,-5.72,3.43
1682.2,-5.93,3.43
1682.7,-6.14,3.43
1683.2,-6.35,3.43
1683.7,-6.56,3.43
1684.2,-6.78,3.43
1684.7,-6.99,3.43
1685.2,-7.2,3.43
1685.7,-7.41,3.43
1686.2,-7.62,3.43
1686.7,-7.83,3.43
1687.2,-8.05,3.43
1687.7,-8.26,3.43
1688.2,-8.47,3.43
1688.7,-8.68,3.44
1689.2,-8.9,3.44
1689.7,-9.11,3.44
1690.2,-9.33,3.44
1690.7,-9.54,3.44
1691.2,-9.75,3.44
1691.7,-9.97,3.44
1692.2,-10.18,3.44
1692.7,-10.4,3.44
1693.2,-10.61,3.44
1693.7,-10.83,3.44
1694.2,-11.04,3.44
1694.7,-11.26,3.44
1695.2,-11.47,3.44
1695.7,-11.69,3.44
1696.2,-11.91,3.44
1696.7,-12.12,3.44
1697.2,-12.34,3.44
1697.7,-12.56,3.44
1698.2,-12.77,3.44
1698.7,-12.99,3.44
1699.2,-13.21,3.44
1699.7,-13.43,3.44
1700.2,-13.65,3.44
1700.7,-13.86,3.44
1701.2,-14.08,3.44
1701.7,-14.3,3.44
1702.2,-14.52,3.44
1702.7,-14.74,3.44
1703.2,-14.96,3.44
1703.7,-15.18,3.44
1704.2,-15.4,3.44
1704.7,-15.62,3.44
1705.2,-15.84,3.44
1705.7,-16.06,3.44
1706.2,-16.28,3.44
1706.7,-16.5,3.44
1707.2,-16.73,3.44
1707.7,-16.95,3.44
1708.2,-17.17,3.44
1708.7,-17.39,3.44
1709.2,-17.61,3.44
1709.7,-17.84,3.44
1710.2,-18.06,3.44
1710.7,-18.28,3.44
1711.2,-18.51,3.44
1711.7,-18.73,3.44
1712.2,-18.95,3.44
1712.7,-19.18,3.44
1713.2,-19.4,3.44
1713.7,-19.63,3.44
1714.2,-19.85,3.44
1714.7,-20.08,3.44
1715.2,-20.3,3.44
1715.7,-20.53,3.44
1716.2,-20.75,3.44
1716.7,-20.98,3.44
1717.2,-21.21,3.44
1717.7,-21.43,3.44
1718.2,-21.66,3.44
1718.7,-21.89,3.45
1719.2,-22.11,3.45
1719.7,-22.34,3.45
1720.2,-22.57,3.45
1720.7,-22.8,3.45
1721.2,-23.03,3.45
1721.7,-23.25,3.45
1722.2,-23.48,3.45
1722.7,-23.71,3.45
1723.2,-23.94,3.45
1723.7,-24.17,3.45
1724.2,-24.4,3.45
1724.7,-24.63,3.45
1725.2,-24.86,3.45
1725.7,-25.09,3.45
1726.2,-25.32,3.45
1726.7,-25.55,3.45
1727.2,-25.78,3.45
1727.7,-26.02,3.45
1728.2,-26.25,3.45
1728.7,-26.48,3.45
1729.2,-26.71,3.45
1729.7,-26.94,3.45
1730.2,-27.18,3.45
1730.7,-27.41,3.45
1731.2,-27.64,3.45
1731.7,-27.88,3.45
1732.2,-28.11,3.45
1732.7,-28.35,3.45
1733.2,-28.58,3.45
1733.7,-28.81,3.45
1734.2,-29.05,3.45
1734.7,-29.28,3.45
1735.2,-29.52,3.45
1735.7,-29.76,3.45
1736.2,-29.99,3.45
1736.7,-30.23,3.45
1737.2,-30.46,3.45
1737.7,-30.7,3.45
1738.2,-30.94,3.45
1738.7,-31.18,3.45
1739.2,-31.41,3.45
1739.7,-31.65,3.45
1740.2,-31.89,3.45
1740.7,-32.13,3.45
1741.2,-32.37,3.45
1741.7,-32.61,3.45
1742.2,-32.84,3.45
1742.7,-33.08,3.45
1743.2,-33.32,3.45
1743.7,-33.56,3.46
1744.2,-33.8,3.46
1744.7,-34.04,3.46
1745.2,-34.29,3.46
1745.7,-34.53,3.46
1746.2,-34.77,3.46
1746.7,-35.01,3.46
1747.2,-35.25,3.46
1747.7,-35.49,3.46
1748.2,-35.74,3.46
1748.7,-35.98,3.46
1749.2,-36.22,3.46
1749.7,-36.46,3.46
1750.2,-36.71,3.46
1750.7,-36.95,3.46
1751.2,-37.2,3.46
1751.7,-37.44,3.46
1752.2,-37.68,3.46
1752.7,-37.93,3.46
1753.2,-38.18,3.46
1753.7,-38.42,3.46
1754.2,-38.67,3.46
1754.7,-38.91,3.46
1755.2,-39.16,3.46
1755.7,-39.41,3.46
1756.2,-39.65,3.46
1756.7,-39.9,3.46
1757.2,-40.15,3.46
1757.7,-40.39,3.46
1758.2,-40.64,3.46
1758.7,-40.89,3.46
1759.2,-41.14,3.46
1759.7,-41.39,3.46
1760.2,-41.64,3.46
1760.7,-41.89,3.46
1761.2,-42.14,3.46
1761.7,-42.39,3.46
1762.2,-42.64,3.46
1762.7,-42.89,3.46
1763.2,-43.14,3.46
1763.7,-43.39,3.46
1764.2,-43.64,3.46
1764.7,-43.89,3.47
1765.2,-44.15,3.47
1765.7,-44.4,3.47
1766.2,-44.65,3.47
1766.7,-44.9,3.47
1767.2,-45.16,3.47
1767.7,-45.41,3.47
1768.2,-45.66,3.47
1768.7,-45.92,3.47
1769.2,-46.17,3.47
1769.7,-46.43,3.47
1770.2,-46.68,3.47
1770.7,-46.94,3.47
1771.2,-47.19,3.47
1771.7,-47.45,3.47
1772.2,-47.71,3.47
1772.7,-47.96,3.47
1773.2,-48.22,3.47
1773.7,-48.48,3.47
1774.2,-48.73,3.47
1774.7,-48.99,3.47
1775.2,-49.25,3.47
1775.7,-49.51,3.47
1776.2,-49.77,3.47
1776.7,-50.03,3.47
1777.2,-50.28,3.47
1777.7,-50.54,3.47
1778.2,-50.8,3.47
1778.7,-51.06,3.47
1779.2,-51.32,3.47
1779.7,-51.59,3.47
1780.2,-51.85,3.47
1780.7,-52.11,3.47
1781.2,-52.37,3.47
1781.7,-52.63,3.47
1782.2,-52.89,3.47
1782.7,-53.16,3.47
1783.2,-53.42,3.47
1783.7,-53.68,3.48
1784.2,-53.95,3.48
1784.7,-54.21,3.48
1785.2,-54.47,3.48
1785.7,-54.74,3.48
1786.2,-55,3.48
1786.7,-55.27,3.48
1787.2,-55.53,3.48
1787.7,-55.8,3.48
1788.2,-56.07,3.48
1788.7,-56.33,3.48
1789.2,-56.6,3.48
1789.7,-56.87,3.48
1790.2,-57.13,3.48
1790.7,-57.4,3.48
1791.2,-57.67,3.48
1791.7,-57.94,3.48
1792.2,-58.21,3.48
1792.7,-58.48,3.48
1793.2,-58.75,3.48
1793.7,-59.02,3.48
1794.2,-59.29,3.48
1794.7,-59.56,3.48
1795.2,-59.83,3.48
1795.7,-60.1,3.48
1796.2,-60.37,3.48
1796.7,-60.64,3.48
1797.2,-60.91,3.48
1797.7,-61.19,3.48
1798.2,-61.46,3.48
1798.7,-61.73,3.48
1799.2,-62,3.48
1799.7,-62.28,3.48
1800.2,-62.55,3.49
1800.7,-62.83,3.49
1801.2,-63.1,3.49
1801.7,-63.38,3.49
1802.2,-63.65,3.49
1802.7,-63.93,3.49
1803.2,-64.2,3.49
1803.7,-64.48,3.49
1804.2,-64.76,3.49
1804.7,-65.03,3.49
1805.2,-65.31,3.49
1805.7,-65.59,3.49
1806.2,-65.87,3.49
1806.7,-66.14,3.49
1807.2,-66.42,3.49
1807.7,-66.7,3.49
1808.2,-66.98,3.49
1808.7,-67.26,3.49
1809.2,-67.54,3.49
1809.7,-67.82,3.49
1810.2,-68.1,3.49
1810.7,-68.38,3.49
1811.2,-68.67,3.49
1811.7,-68.95,3.49
1812.2,-69.23,3.49
1812.7,-69.51,3.49
1813.2,-69.8,3.49
1813.7,-70.08,3.49
1814.2,-70.36,3.49
1814.7,-70.65,3.49
1815.2,-70.93,3.49
1815.7,-71.22,3.5
1816.2,-71.5,3.5
1816.7,-71.79,3.5
1817.2,-72.07,3.5
1817.7,-72.36,3.5
1818.2,-72.64,3.5
1818.7,-72.93,3.5
1819.2,-73.22,3.5
1819.7,-73.51,3.5
1820.2,-73.79,3.5
1820.7,-74.08,3.5
1821.2,-74.37,3.5
1821.7,-74.66,3.5
1822.2,-74.95,3.5
1822.7,-75.24,3.5
1823.2,-75.53,3.5
1823.7,-75.82,3.5
1824.2,-76.11,3.5
1824.7,-76.4,3.5
1825.2,-76.69,3.5
1825.7,-76.99,3.5
1826.2,-77.28,3.5
1826.7,-77.57,3.5
1827.2,-77.86,3.5
1827.7,-78.16,3.5
1828.2,-78.45,3.5
1828.7,-78.74,3.5
1829.2,-79.04,3.51
1829.7,-79.33,3.51
1830.2,-79.63,3.51
1830.7,-79.93,3.51
1831.2,-80.22,3.51
1831.7,-80.52,3.51
1832.2,-80.81,3.51
1832.7,-81.11,3.51
1833.2,-81.41,3.51
1833.7,-81.71,3.51
1834.2,-82.01,3.51
1834.7,-82.3,3.51
1835.2,-82.6,3.51
1835.7,-82.9,3.51
1836.2,-83.2,3.51
1836.7,-83.5,3.51
1837.2,-83.8,3.51
1837.7,-84.11,3.51
1838.2,-84.41,3.51
1838.7,-84.71,3.51
1839.2,-85.01,3.51
1839.7,-85.31,3.51
1840.2,-85.62,3.51
1840.7,-85.92,3.51
1841.2,-86.22,3.51
1841.7,-86.53,3.51
1842.2,-86.83,3.52
1842.7,-87.14,3.52
1843.2,-87.44,3.52
1843.7,-87.75,3.52
1844.2,-88.05,3.52
1844.7,-88.36,3.52
1845.2,-88.67,3.52
1845.7,-88.98,3.52
1846.2,-89.28,3.52
1846.7,-89.59,3.52
1847.2,-89.9,3.52
1847.7,-90.21,3.52
1848.2,-90.52,3.52
1848.7,-90.83,3.52
1849.2,-91.14,3.52
1849.7,-91.45,3.52
1850.2,-91.76,3.52
1850.7,-92.07,3.52
1851.2,-92.38,3.52
1851.7,-92.7,3.52
1852.2,-93.01,3.52
1852.7,-93.32,3.52
1853.2,-93.63,3.52
1853.7,-93.95,3.52
1854.2,-94.26,3.53
1854.7,-94.58,3.53
1855.2,-94.89,3.53
1855.7,-95.21,3.53
1856.2,-95.52,3.53
1856.7,-95.84,3.53
1857.2,-96.16,3.53
1857.7,-96.47,3.53
1858.2,-96.79,3.53
1858.7,-97.11,3.53
1859.2,-97.43,3.53
1859.7,-97.75,3.53
1860.2,-98.07,3.53
1860.7,-98.39,3.53
1861.2,-98.71,3.53
1861.7,-99.03,3.53
1862.2,-99.35,3.53
1862.7,-99.67,3.53
1863.2,-99.99,3.53
1863.7,-100.31,3.53
1864.2,-100.64,3.53
1864.7,-100.96,3.53
1865.2,-101.28,3.53
1865.7,-101.61,3.54
1866.2,-101.93,3.54
1866.7,-102.26,3.54
1867.2,-102.58,3.54
1867.7,-102.91,3.54
1868.2,-103.23,3.54
1868.7,-103.56,3.54
1869.2,-103.89,3.54
1869.7,-104.22,3.54
1870.2,-104.54,3.54
1870.7,-104.87,3.54
1871.2,-105.2,3.54
1871.7,-105.53,3.54
1872.2,-105.86,3.54
1872.7,-106.19,3.54
1873.2,-106.52,3.54
1873.7,-106.85,3.54
1874.2,-107.18,3.54
1874.7,-107.52,3.54
1875.2,-107.85,3.54
1875.7,-108.18,3.54
1876.2,-108.52,3.55
1876.7,-108.85,3.55
1877.2,-109.18,3.55
1877.7,-109.52,3.55
1878.2,-109.85,3.55
1878.7,-110.19,3.55
1879.2,-110.53,3.55
1879.7,-110.86,3.55
1880.2,-111.2,3.55
1880.7,-111.54,3.55
1881.2,-111.87,3.55
1881.7,-112.21,3.55
1882.2,-112.55,3.55
1882.7,-112.89,3.55
1883.2,-113.23,3.55
1883.7,-113.57,3.55
1884.2,-113.91,3.55
1884.7,-114.25,3.55
1885.2,-114.6,3.55
1885.7,-114.94,3.55
1886.2,-115.28,3.56
1886.7,-115.62,3.56
1887.2,-115.97,3.56
1887.7,-116.31,3.56
1888.2,-116.66,3.56
1888.7,-117,3.56
1889.2,-117.35,3.56
1889.7,-117.69,3.56
1890.2,-118.04,3.56
1890.7,-118.39,3.56
1891.2,-118.73,3.56
1891.7,-119.08,3.56
1892.2,-119.43,3.56
1892.7,-119.78,3.56
1893.2,-120.13,3.56
1893.7,-120.48,3.56
1894.2,-120.83,3.56
1894.7,-121.18,3.56
1895.2,-121.53,3.56
1895.7,-121.88,3.57
1896.2,-122.24,3.57
1896.7,-122.59,3.57
1897.2,-122.94,3.57
1897.7,-123.3,3.57
1898.2,-123.65,3.57
1898.7,-124,3.57
1899.2,-124.36,3.57
1899.7,-124.72,3.57
1900.2,-125.07,3.57
1900.7,-125.43,3.57
1901.2,-125.79,3.57
1901.7,-126.14,3.57
1902.2,-126.5,3.57
1902.7,-126.86,3.57
1903.2,-127.22,3.57
1903.7,-127.58,3.57
1904.2,-127.94,3.57
1904.7,-128.3,3.58
1905.2,-128.66,3.58
1905.7,-129.03,3.58
1906.2,-129.39,3.58
1906.7,-129.75,3.58
1907.2,-130.12,3.58
1907.7,-130.48,3.58
1908.2,-130.84,3.58
1908.7,-131.21,3.58
1909.2,-131.58,3.58
1909.7,-131.94,3.58
1910.2,-132.31,3.58
1910.7,-132.68,3.58
1911.2,-133.04,3.58
1911.7,-133.41,3.58
1912.2,-133.78,3.58
1912.7,-134.15,3.58
1913.2,-134.52,3.59
1913.7,-134.89,3.59
1914.2,-135.26,3.59
1914.7,-135.63,3.59
1915.2,-136,3.59
1915.7,-136.38,3.59
1916.2,-136.75,3.59
1916.7,-137.12,3.59
1917.2,-137.5,3.59
1917.7,-137.87,3.59
1918.2,-138.25,3.59
1918.7,-138.62,3.59
1919.2,-139,3.59
1919.7,-139.38,3.59
1920.2,-139.75,3.59
1920.7,-140.13,3.59
1921.2,-140.51,3.59
1921.7,-140.89,3.6
1922.2,-141.27,3.6
1922.7,-141.65,3.6
1923.2,-142.03,3.6
1923.7,-142.41,3.6
1924.2,-142.79,3.6
1924.7,-143.18,3.6
1925.2,-143.56,3.6
1925.7,-143.94,3.6
1926.2,-144.33,3.6
1926.7,-144.71,3.6
1927.2,-145.1,3.6
1927.7,-145.48,3.6
1928.2,-145.87,3.6
1928.7,-146.26,3.6
1929.2,-146.64,3.61
1929.7,-147.03,3.61
1930.2,-147.42,3.61
1930.7,-147.81,3.61
1931.2,-148.2,3.61
1931.7,-148.59,3.61
1932.2,-148.98,3.61
1932.7,-149.37,3.61
1933.2,-149.76,3.61
1933.7,-150.16,3.61
1934.2,-150.55,3.61
1934.7,-150.94,3.61
1935.2,-151.34,3.61
1935.7,-151.73,3.61
1936.2,-152.13,3.61
1936.7,-152.53,3.62
1937.2,-152.92,3.62
1937.7,-153.32,3.62
1938.2,-153.72,3.62
1938.7,-154.12,3.62
1939.2,-154.52,3.62
1939.7,-154.92,3.62
1940.2,-155.32,3.62
1940.7,-155.72,3.62
1941.2,-156.12,3.62
1941.7,-156.52,3.62
1942.2,-156.93,3.62
1942.7,-157.33,3.62
1943.2,-157.73,3.62
1943.7,-158.14,3.62
1944.2,-158.54,3.63
1944.7,-158.95,3.63
1945.2,-159.36,3.63
1945.7,-159.76,3.63
1946.2,-160.17,3.63
1946.7,-160.58,3.63
1947.2,-160.99,3.63
1947.7,-161.4,3.63
1948.2,-161.81,3.63
1948.7,-162.22,3.63
1949.2,-162.63,3.63
1949.7,-163.04,3.63
1950.2,-163.46,3.63
1950.7,-163.87,3.63
1951.2,-164.28,3.64
1951.7,-164.7,3.64
1952.2,-165.11,3.64
1952.7,-165.53,3.64
1953.2,-165.95,3.64
1953.7,-166.36,3.64
1954.2,-166.78,3.64
1954.7,-167.2,3.64
1955.2,-167.62,3.64
1955.7,-168.04,3.64
1956.2,-168.46,3.64
1956.7,-168.88,3.64
1957.2,-169.3,3.64
1957.7,-169.72,3.65
1958.2,-170.15,3.65
1958.7,-170.57,3.65
1959.2,-171,3.65
1959.7,-171.42,3.65
1960.2,-171.85,3.65
1960.7,-172.27,3.65
1961.2,-172.7,3.65
1961.7,-173.13,3.65
1962.2,-173.56,3.65
1962.7,-173.98,3.65
1963.2,-174.41,3.65
1963.7,-174.84,3.65
1964.2,-175.28,3.66
1964.7,-175.71,3.66
1965.2,-176.14,3.66
1965.7,-176.57,3.66
1966.2,-177.01,3.66
1966.7,-177.44,3.66
1967.2,-177.88,3.66
1967.7,-178.31,3.66
1968.2,-178.75,3.66
1968.7,-179.19,3.66
1969.2,-179.62,3.66
1969.7,-180.06,3.66
1970.2,-180.5,3.67
1970.7,-180.94,3.67
1971.2,-181.38,3.67
1971.7,-181.82,3.67
1972.2,-182.27,3.67
1972.7,-182.71,3.67
1973.2,-183.15,3.67
1973.7,-183.6,3.67
1974.2,-184.04,3.67
1974.7,-184.49,3.67
1975.2,-184.93,3.67
1975.7,-185.38,3.67
1976.2,-185.83,3.68
1976.7,-186.28,3.68
1977.2,-186.72,3.68
1977.7,-187.17,3.68
1978.2,-187.62,3.68
1978.7,-188.08,3.68
1979.2,-188.53,3.68
1979.7,-188.98,3.68
1980.2,-189.43,3.68
1980.7,-189.89,3.68
1981.2,-190.34,3.68
1981.7,-190.8,3.68
1982.2,-191.26,3.69
1982.7,-191.71,3.69
1983.2,-192.17,3.69
1983.7,-192.63,3.69
1984.2,-193.09,3.69
1984.7,-193.55,3.69
1985.2,-194.01,3.69
1985.7,-194.47,3.69
1986.2,-194.93,3.69
1986.7,-195.4,3.69
1987.2,-195.86,3.69
1987.7,-196.32,3.7
1988.2,-196.79,3.7
1988.7,-197.26,3.7
1989.2,-197.72,3.7
1989.7,-198.19,3.7
1990.2,-198.66,3.7
1990.7,-199.13,3.7
1991.2,-199.6,3.7
1991.7,-200.07,3.7
1992.2,-200.54,3.7
1992.7,-201.01,3.7
1993.2,-201.48,3.71
1993.7,-201.96,3.71
1994.2,-202.43,3.71
1994.7,-202.91,3.71
1995.2,-203.38,3.71
1995.7,-203.86,3.71
1996.2,-204.34,3.71
1996.7,-204.82,3.71
1997.2,-205.3,3.71
1997.7,-205.78,3.71
1998.2,-206.26,3.72
1998.7,-206.74,3.72
1999.2,-207.22,3.72